PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Residential,3080013000,3033 N 35TH ST,,7,2960,AP 1,Frame,2,1913,3476,4,9,1,0,5040,2002-02,42000
Residential,3190434000,1908 E WEBSTER PL,,3,3170,Rm or Rooming House,Frame,2,1897,1992,4,2,2,0,2880,2002-05,145000
Residential,3891722000,812 N 25TH ST,,4,3040,Rm or Rooming House,Frame,2,1907,2339,6,0,1,0,3185,2002-06,30000
Residential,3880628000,959 N 34TH ST,,4,2300,AP 1,Frame,2,1890,2329,4,4,1,0,5781,2002-10,66500
Residential,3880406000,3209 W WELLS ST,,4,2300,Mansion,Stone,2.5,1891,7450,2,7,6,0,15600,2002-11,150500
Residential,4689939000,2143 S 11TH ST,,12,4120,Duplex O/S,Frame,1.5,1906,2462,2,3,2,0,5075,2002-11,75000
Residential,3900518000,1116 N 13TH ST,,4,3040,Rm or Rooming House,Frame,1.5,1890,2372,6,2,2,0,7750,2002-12,35000
Residential,5330310000,3350 W RUSKIN ST,,11,4400,Cape Cod,Brick,1,1950,1149,1,3,1,0,4800,2003-06,75000
Residential,2090099100,4826 N 51ST BL,,1,1150,Cape Cod,Aluminum / Vinyl,1,1947,994,1,3,1,0,4200,2003-08,22000
Residential,1920011000,3706A W SHERIDAN AV,,1,1160,AP 1,Stucco,2,1905,2938,4,3,1,0,9480,2003-12,125000
Residential,1960104000,5545 N 12TH ST,,1,1220,Cape Cod,Brick,1,1951,1620,1,4,2,0,7800,2003-12,148500
Residential,5780032000,1504 W LEROY AV,,13,4660,Ranch,Brick,1,1956,986,1,3,1,0,10428,2003-12,105000
Residential,3600203000,1686 N ASTOR ST,,3,3240,Rm or Rooming House,Frame,2,1890,2360,8,1,2,0,4560,2004-05,125000
Residential,4590715000,1735 S 23RD ST,,8,4120,Cottage,Aluminum / Vinyl,1,1903,1156,1,2,1,0,2280,2004-07,29000
Residential,3881550100,2706 W STATE ST,,4,2300,AP 1,Frame,2,1895,3269,4,6,1,0,5668,2004-08,115000
Residential,3491731000,2915 W BROWN ST,,15,2420,AP 1,Frame,2,1899,3380,4,10,1,0,4520,2005-01,70000
Residential,3881805000,2813 W STATE ST,,4,2300,AP 1,Frame,2,1908,2775,4,4,1,0,4230,2005-03,50000
Residential,4330033000,1009 S 17TH ST,,12,4050,Rm or Rooming House,Frame,2,1889,2796,8,0,2,1,6450,2005-03,109900
Residential,4270505000,627 S 6TH ST,,12,4020,Rm or Rooming House,Frame,2,1889,1930,6,1,2,0,2950,2005-04,55000
Residential,3651439000,3210 W JUNEAU AV,,4,2300,Rm or Rooming House,Frame,2,1913,2872,7,3,2,2,4200,2005-05,92000
Residential,5490037000,554 W HOWARD AV,,13,4620,AP 1,Brick,2,1949,2430,4,6,1,0,5400,2005-06,230000
Residential,3881807000,2825 W STATE ST,,4,2300,AP 1,Frame,2,1890,3243,4,8,1,0,4150,2005-09,77000
Residential,2819989000,3276 N RICHARDS ST,,6,2900,AP 1,Frame,2,1905,3346,4,4,1,0,4551,2005-09,110000
Residential,4320666000,1030 W MINERAL ST,,12,4040,Rm or Rooming House,Frame,2,1900,2679,7,7,2,0,3500,2005-12,97000
Residential,4310204000,1100 S 4TH ST,,12,4020,AP 1,Frame,2,1880,3459,4,8,1,0,3500,2006-01,180000
Residential,3200820000,1631 E BELLEVIEW PL,,3,3190,AP 1,Stucco,2,1895,3208,4,5,1,0,3252,2006-02,343100
Residential,3230462200,2624 N 6TH ST,,6,2920,AP 1,Block,2,1956,1920,4,4,1,0,5250,2006-02,48000
Residential,3190406000,2565 N CRAMER ST,,3,3170,AP 1,Stucco,2,1916,2800,4,2,1,0,5080,2006-03,250000
Residential,3130309000,2823 N 2ND ST,,6,2930,Duplex O/S,Brick,2,1908,2646,2,6,2,0,6000,2006-05,124100
Residential,3881805000,2813 W STATE ST,,4,2300,Duplex O/S,Frame,2,1908,3466,2,6,4,0,4230,2006-06,176800
Residential,3080013000,3033 N 35TH ST,,7,2960,AP 1,Frame,2,1913,3476,4,9,1,0,5040,2006-06,104000
Residential,2480354000,4113 N 47TH ST,,7,1680,Cottage,Frame,1,1932,761,1,3,1,0,4680,2006-06,31100
Residential,2819989000,3276 N RICHARDS ST,,6,2900,AP 1,Frame,2,1905,3346,4,4,1,0,4551,2006-07,216000
Residential,3491731000,2915 W BROWN ST,,15,2420,AP 1,Frame,2,1899,4225,4,9,1,0,4520,2006-07,135000
Residential,4010200000,3421 W CLYBOURN ST,,4,2160,AP 1,Frame,2,1908,3380,4,4,1,0,5400,2006-08,122000
Residential,3890791000,2408 W HIGHLAND AV,,4,3040,Duplex O/S,Aluminum / Vinyl,2,1901,2898,2,6,4,0,3600,2006-08,160900
Residential,4590218000,1528 S 22ND ST,,8,4100,AP 1,Aluminum / Vinyl,2,1903,2880,4,6,1,0,4200,2006-08,128750
Residential,4340616000,917 S 24TH ST,,8,4050,AP 1,Aluminum / Vinyl,1.5,1892,2091,4,4,1,0,5600,2006-08,155000
Residential,3881609000,3011 W JUNEAU AV,,4,2300,AP 1,Frame,2,1901,2770,4,6,1,0,6160,2006-09,185000
Residential,2851404000,3353 N 24TH PL,,7,2960,AP 1,Frame,2,1913,2696,4,4,1,0,5504,2007-02,86900
Residential,4330033000,1009 S 17TH ST,,12,4050,Rm or Rooming House,Frame,2,1889,2796,7,7,2,1,6450,2007-02,50000
Residential,3230462200,2624 N 6TH ST,,6,2920,AP 1,Block,2,1956,1920,4,4,1,0,5250,2007-08,42500
Residential,50093000,9286 N BURBANK AV,,9,40,Colonial,Aluminum / Vinyl,2,2007,2237,1,4,2,1,11129,2007-08,257000
Residential,4351338000,2816 W NATIONAL AV,,8,4060,AP 1,Aluminum / Vinyl,2,1903,3552,4,7,1,0,5535,2007-09,155000
Residential,4351338000,2816 W NATIONAL AV,,8,4060,Duplex O/S,Frame,2,1903,3552,2,7,4,0,5418,2008-01,189000
Residential,1909765110,5529 W SILVER SPRING DR,,2,1140,Ranch,Frame,1,1962,1169,1,3,2,1,6351,2008-10,64000
Residential,2440062000,4242 N 17TH ST,,1,1620,Cape Cod,Stone,1,1938,1188,1,2,1,0,5838,2009-01,103000
Residential,2440054000,4315 N 17TH ST,,1,1620,Cape Cod,Aluminum / Vinyl,1,1951,1054,1,3,1,0,4797,2009-01,73450
Residential,2100815000,5037 N 51ST BL,,1,1140,Cape Cod,Aluminum / Vinyl,1,1950,998,1,3,1,0,5040,2009-01,90000
Residential,1920792000,5300 N 39TH ST,,1,1160,Cape Cod,Aluminum / Vinyl,1,1951,988,1,3,1,0,4800,2009-01,63300
Residential,1710621000,5615 N 38TH  ST,,1,900,Colonial,Aluminum / Vinyl,2,2004,1470,1,3,2,0,5945,2009-01,107500
Residential,2060871000,4957 N 24TH ST,,1,1340,Duplex N/S,Masonry / Frame,2,1949,2460,2,5,2,0,5400,2009-01,95000
Residential,2080017000,3721 W VILLARD AV,,1,1140,Residence O/S,Brick,1.5,1900,4507,1,5,1,1,6660,2009-01,129000
Residential,2500014000,4225 N 63RD ST,,2,1490,Cape Cod,Brick,1,1954,1456,1,3,1,1,5590,2009-01,120900
Residential,1770613000,8654-A W MEDFORD AV,,2,1020,Duplex N/S,Aluminum / Vinyl,1.5,1962,1875,2,5,2,0,6000,2009-01,70000
Residential,1779933130,5680 N 86TH PL,,2,1020,Ranch,Aluminum / Vinyl,1,1966,1379,1,3,1,1,8190,2009-01,129900
Residential,2261134000,6700 W HOPE AV,,2,1490,Ranch,Brick,1,1962,1361,1,3,1,1,5750,2009-01,126500
Residential,2250697000,4756 N 69TH ST,,2,1480,Ranch,Brick,1,1964,1334,1,3,1,1,5544,2009-01,109000
Residential,2260803000,4467 N 67TH ST,,2,1490,Ranch,Brick,1,1962,1334,1,3,1,1,5250,2009-01,108000
Residential,2250065000,4509 N 73RD ST,,2,1480,Ranch,Brick,1,1959,1288,1,3,2,0,5400,2009-01,115000
Residential,1500601000,10213 W MILL RD,,2,820,Ranch,Frame,1,1970,1120,1,4,1,1,8040,2009-01,49000
Residential,1880099000,7321 W SHERIDAN AV,,2,1380,Ranch,Frame,1,1955,864,1,3,1,0,6500,2009-01,75000
Residential,2130624000,8311 W HERBERT AV,,2,1400,Ranch,Aluminum / Vinyl,1,1957,864,1,3,1,0,6000,2009-01,62500
Residential,3170272000,2845 N HACKETT AV,,3,3060,Colonial,Stucco,3,1894,3255,1,3,2,1,4800,2009-01,400000
Residential,3551201000,2114 N OAKLAND AV,,3,3190,Cottage,Frame,1,1910,977,1,3,1,0,4080,2009-01,137000
Residential,3140166000,2813 N HUMBOLDT BL,,3,3330,Duplex O/S,Aluminum / Vinyl,2,1912,2152,2,4,2,0,4020,2009-01,186500
Residential,2811019000,3068 N FRATNEY ST,,3,2880,Duplex O/S,Aluminum / Vinyl,1.5,1908,1656,2,4,2,0,3600,2009-01,130000
Residential,3151027000,3054 N NEWHALL ST,,3,3150,Residence O/S,Aluminum / Vinyl,1,1909,1359,1,3,2,0,3600,2009-01,190000
Residential,3170285000,2848 N DOWNER AV,,3,3160,Residence O/S,Aluminum / Vinyl,2,1921,1248,1,3,1,0,4800,2009-01,215000
Residential,3020320000,3025 N 84TH ST,,5,2080,Cape Cod,Brick,1,1950,1338,1,3,1,1,5280,2009-01,162250
Residential,2620642000,3876 N 88TH ST,,5,2040,Cape Cod,Brick,1,1949,1284,1,3,1,0,7000,2009-01,134900
Residential,3020796000,2757 N 87TH ST,,5,2080,Cape Cod,Brick,1,1950,1201,1,2,1,0,5400,2009-01,121600
Residential,2530607000,4334 N 89TH ST,,5,1460,Cape Cod,Aluminum / Vinyl,1,1956,1176,1,4,2,0,5400,2009-01,107000
Residential,2930826000,3456 N 89TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1947,1165,1,4,1,0,5000,2009-01,99900
Residential,2920375000,7807 W LISBON AV,,5,2100,Cape Cod,Aluminum / Vinyl,1,1953,1144,1,3,1,0,4800,2009-01,128000
Residential,2631085000,7924 W KEEFE AV,,5,2040,Cape Cod,Stone,1,1950,989,1,2,1,0,7200,2009-01,109500
Residential,2530632000,4328 N 88TH ST,,5,1460,Duplex N/S,Masonry / Frame,2,1957,2234,2,6,2,0,5320,2009-01,135000
Residential,2610078000,3770-A N 97TH ST,,5,2100,Duplex N/S,Aluminum / Vinyl,1.5,1955,1995,2,5,2,0,5700,2009-01,151000
Residential,2630545000,3838 N 78TH ST,,5,2040,Ranch,Brick,1,1958,1110,1,3,1,1,4800,2009-01,105000
Residential,2730120000,3739 N 5TH ST,,6,2820,Milwaukee Bungalow,Frame,1,1922,1029,1,2,1,0,3968,2009-01,89000
Residential,2851444000,3324 N 27TH ST,,7,2960,Duplex O/S,Aluminum / Vinyl,1.5,1910,1729,2,6,2,0,4290,2009-01,24000
Residential,4360480000,1248 S 37TH ST,,8,4060,Residence O/S,Frame,2,1913,1364,1,3,1,0,3570,2009-01,70000
Residential,4340441000,1210 S 23RD ST,,8,4050,Residence O/S,Frame,1,1901,1256,1,3,1,1,4200,2009-01,87000
Residential,1170065000,8821 W DALLAS ST,,9,480,Colonial,Frame,2,1965,1591,1,4,1,1,11250,2009-01,174000
Residential,1170487000,9060 W ROCHELLE AV,,9,480,Colonial,Aluminum / Vinyl,2,1980,1455,1,3,1,1,11328,2009-01,152900
Residential,4090327000,9420 W ST PAUL AV,,10,2760,Cape Cod,Brick,1.5,1952,1435,1,2,1,1,5600,2009-01,105000
Residential,2890655000,3298 N 58TH ST,,10,1850,Cape Cod,Brick,1.5,1936,1276,1,2,1,1,5200,2009-01,135000
Residential,4060612000,170 N 73RD ST,,10,2720,Cape Cod,Aluminum / Vinyl,1,1948,1012,1,3,1,1,5160,2009-01,146000
Residential,3050489000,6926 W LOCUST ST,,10,1980,Colonial,Brick,2,1940,1556,1,4,1,2,4920,2009-01,185000
Residential,4040623000,5920 W ST PAUL AV,,10,2700,Dplx Bungalow,Aluminum / Vinyl,1.5,1924,1697,2,3,2,0,6000,2009-01,126000
Residential,3061216000,2772 N 55TH ST,,10,1860,Milwaukee Bungalow,Brick,1,1928,1853,1,4,1,1,4524,2009-01,119900
Residential,3291434000,2414 N 56TH ST,,10,2540,Milwaukee Bungalow,Aluminum / Vinyl,1,1927,1025,1,3,1,0,4080,2009-01,77000
Residential,4200280000,218 S 66TH ST,,10,2710,Residence O/S,Aluminum / Vinyl,2,1919,1452,1,4,1,1,7440,2009-01,158400
Residential,4190362000,126 N 75TH ST,,10,2720,Residence O/S,Aluminum / Vinyl,1,1924,916,1,2,2,0,3240,2009-01,132500
Residential,5560529000,3543 S 57TH ST,,11,4420,Cape Cod,Brick,1.5,1941,1203,1,2,1,1,7930,2009-01,128300
Residential,5600230000,3675 S 85TH ST,,11,4350,Cape Cod,Aluminum / Vinyl,1,1938,1157,1,4,1,1,8040,2009-01,152000
Residential,5611831000,3616 S 96TH ST,,11,4340,Colonial,Aluminum / Vinyl,2,1992,2159,1,3,2,1,8062,2009-01,282000
Residential,5100172000,2870 S 34TH ST,,11,4000,Dplx Bungalow,Brick,1.5,1937,1859,2,3,2,0,5400,2009-01,155000
Residential,5330788000,3136 S 29TH ST,,11,4400,Milwaukee Bungalow,Brick,1,1932,1369,1,3,1,0,4800,2009-01,157000
Residential,5580960000,3731 S MASSACHUSETTS AV,,11,4330,Ranch,Aluminum / Vinyl,1,1961,1336,1,3,1,0,7150,2009-01,176000
Residential,5710504000,7206 W VAN BECK AV,,11,4430,Ranch,Aluminum / Vinyl,1,1979,1321,1,3,2,0,8040,2009-01,185000
Residential,5270312000,3407 S 78TH ST,,11,4340,Ranch,Brick,1,1958,1119,1,3,2,0,7625,2009-01,167000
Residential,5310442000,3237 S 49TH ST,,11,4420,Ranch,Brick,1,1953,1048,1,2,1,0,5050,2009-01,120000
Residential,4920106000,4508 W SUMAC PL,,11,4260,Ranch,Aluminum / Vinyl,1,1949,870,1,2,1,0,6650,2009-01,116000
Residential,5350779000,3218 S 16TH ST,,13,4520,Cape Cod,Brick,1,1950,1188,1,3,2,0,4725,2009-01,115000
Residential,5510015000,3552 S 19TH ST,,13,4520,Cape Cod,Aluminum / Vinyl,1.5,1946,1122,1,2,1,1,4880,2009-01,140000
Residential,5510458000,3622 S 17TH ST,,13,4520,Cape Cod,Aluminum / Vinyl,1,1943,971,1,3,1,0,5060,2009-01,110000
Residential,6440214000,2101 W MALLORY AV,,13,4780,Ranch,Brick,1,1966,1957,1,3,1,1,7104,2009-01,228000
Residential,6230718000,2501 W VOGEL AV,,13,4660,Ranch,Brick,1,1967,1414,1,3,1,1,7500,2009-01,205000
Residential,6900067000,2430 W ALVINA AV,,13,4860,Ranch,Aluminum / Vinyl,1,1959,1175,1,3,1,0,8480,2009-01,98750
Residential,6700213000,1416 W IONA TR,,13,4800,Ranch,Brick,1,1964,1122,1,3,1,1,7200,2009-01,157500
Residential,5401027000,1826 E FERNWOOD AV,,14,4610,Colonial,Aluminum / Vinyl,2,1954,1078,1,2,1,0,4720,2009-01,148000
Residential,5030435000,2770 S WENTWORTH AV,,14,4540,Duplex O/S,Aluminum / Vinyl,2,1910,2128,2,4,2,0,4235,2009-01,217000
Residential,4991838000,826 E CONWAY ST,,14,4910,Milwaukee Bungalow,Aluminum / Vinyl,1,1924,973,1,3,1,0,2660,2009-01,122500
Residential,4661230000,2219 S MOUND ST,,14,4510,Residence O/S,Frame,1.5,1900,1340,1,3,2,0,4290,2009-01,230000
Residential,5400633000,2233 E OKLAHOMA AV,,14,4600,Residence O/S,Block,1.5,1920,1326,1,2,1,0,1710,2009-01,95000
Residential,2310288000,4536 N 24TH PL,,1,1620,Cape Cod,Brick,1.5,1938,1184,1,2,1,0,4900,2009-02,97000
Residential,2440906000,4209 N 14TH ST,,1,1620,Dplx Bungalow,Aluminum / Vinyl,2,1929,2429,2,6,2,0,5043,2009-02,130000
Residential,2320576000,4679 N 19TH PL,,1,1340,Duplex O/S,Brick,2,1943,1786,2,4,2,0,5440,2009-02,47600
Residential,1920543000,5432 N 37TH ST,,1,1160,Residence O/S,Aluminum / Vinyl,1,1923,1431,1,3,1,0,5400,2009-02,68000
Residential,2260572000,6556 W MEDFORD AV,,2,1490,Cape Cod,Brick,1,1955,1074,1,3,1,0,4800,2009-02,89000
Residential,2250708000,4641 N 68TH ST,,2,1490,Cape Cod,Aluminum / Vinyl,1,1956,1034,1,3,1,0,4800,2009-02,90000
Residential,1750470000,5712 N 73RD ST,,2,980,Colonial,Aluminum / Vinyl,2,1959,1428,1,3,1,1,4800,2009-02,110000
Residential,1760709000,5916 N 84TH ST,,2,980,Duplex N/S,Aluminum / Vinyl,2,1960,2070,2,6,2,0,6350,2009-02,114900
Residential,2120425000,4943 N 73RD ST,,2,1480,Ranch,Brick,1,1955,1115,1,2,1,0,8100,2009-02,90000
Residential,1450029000,6645 N 103RD ST,,2,820,Townhouse,Aluminum / Vinyl,2,1970,2785,2,6,2,2,9648,2009-02,90500
Residential,2800207000,3104 N HUMBOLDT BL,,3,3320,Duplex N/S,Brick,2,1946,2684,2,5,2,0,5520,2009-02,174200
Residential,3190501000,2527 N FREDERICK AV,,3,3170,Duplex O/S,Frame,2,1887,3352,2,5,2,1,5715,2009-02,324000
Residential,3170034000,3053 N SHEPARD AV,,3,3060,Residence O/S,Brick,2,1907,2849,1,5,3,1,6000,2009-02,590000
Residential,3030527000,3039 N 77TH ST,,5,2080,Cape Cod,Brick,1.5,1952,1568,1,3,2,0,4800,2009-02,163500
Residential,3030855000,2866 N 78TH ST,,5,2080,Cape Cod,Stone,1,1947,1425,1,4,1,0,4800,2009-02,183000
Residential,2930546000,3137 N 91ST ST,,5,2100,Cape Cod,Stone,1,1952,1408,1,3,1,0,7200,2009-02,146000
Residential,2930727000,3445 N 89TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1951,1036,1,3,1,1,5000,2009-02,141600
Residential,2620680000,3914 N 87TH ST,,5,2040,Cape Cod,Aluminum / Vinyl,1,1949,978,1,4,1,0,6700,2009-02,79800
Residential,2240684000,4422 N 77TH ST,,5,1470,Colonial,Aluminum / Vinyl,2,1960,1686,1,3,1,1,4800,2009-02,142650
Residential,2930805000,8914 W BURLEIGH ST,,5,2080,Colonial,Frame,2,1951,1540,1,3,1,1,5400,2009-02,125000
Residential,2630347000,3815 N 80TH ST,,5,2040,Ranch,Brick,1,1954,1282,1,3,1,0,6720,2009-02,129800
Residential,2169970112,10527 W STARK ST,,5,1040,Ranch,Aluminum / Vinyl,1,1962,1268,1,3,1,1,5508,2009-02,137000
Residential,1840050100,5360 N 107TH ST,,5,1040,Ranch,Aluminum / Vinyl,1,1956,1132,1,3,1,1,8990,2009-02,130000
Residential,2630467000,3943 N 78TH ST,,5,2040,Ranch,Aluminum / Vinyl,1,1955,978,1,3,1,0,6000,2009-02,110000
Residential,2930001000,3488 N 88TH ST,,5,2100,Triplex,Masonry / Frame,2,1954,2498,3,5,3,0,5960,2009-02,174800
Residential,2830597000,3148 N 12TH ST,,6,2850,Dplx Bungalow,Frame,2,1914,2425,2,6,2,0,5125,2009-02,6678
Residential,3141147000,401 E BURLEIGH ST,,6,2930,Duplex O/S,Brick,2,1914,3087,2,5,2,1,6050,2009-02,37500
Residential,2710762000,3570 N 14TH ST,,6,2860,Milwaukee Bungalow,Frame,1,1924,1696,1,4,1,0,4250,2009-02,74516
Residential,2670156000,3768 N 44TH ST,,7,1820,Cape Cod,Brick,1,1950,1598,1,4,2,1,6500,2009-02,126500
Residential,2660582000,3602 N 56TH ST,,7,1830,Cape Cod,Aluminum / Vinyl,1,1941,1272,1,3,1,0,4551,2009-02,117500
Residential,2270220000,4747 N 57TH ST,,7,1150,Cape Cod,Aluminum / Vinyl,1,1938,957,1,3,1,0,9507,2009-02,95000
Residential,3071044000,2739 N 48TH ST,,7,2510,Dplx Bungalow,Frame,2,1920,2208,2,4,2,0,5000,2009-02,88000
Residential,2280355000,4448 N 50TH ST,,7,1680,Ranch,Brick,1,1960,1442,1,4,2,0,5808,2009-02,97000
Residential,4580423000,2906 W BURNHAM ST,,8,4060,Dplx Bungalow,Aluminum / Vinyl,2,1921,2647,2,6,2,1,4800,2009-02,125000
Residential,4350307000,1019 S 32ND ST,,8,4060,Milwaukee Bungalow,Brick,1,1927,1493,1,4,2,1,3795,2009-02,124600
Residential,1391591000,6704 N 56TH ST,,9,560,Cape Cod,Brick,1,1958,1275,1,3,1,1,8910,2009-02,96000
Residential,1229910110,7030 N 44TH ST,,9,600,Cape Cod,Aluminum / Vinyl,1,1936,1262,1,4,2,0,10650,2009-02,105000
Residential,730366000,8263 N 106TH ST,,9,240,Ranch,Aluminum / Vinyl,1,1972,1140,1,3,1,1,8100,2009-02,150000
Residential,730303000,8338 N ANN ST,,9,240,Ranch,Aluminum / Vinyl,1,1976,906,1,3,1,1,8400,2009-02,115000
Residential,1740010000,5719 N 60TH ST,,9,960,Ranch,Aluminum / Vinyl,1,1954,672,1,2,1,0,6000,2009-02,37000
Residential,3040209000,2913 N 75TH ST,,10,2080,Cape Cod,Aluminum / Vinyl,1,1940,1128,1,3,2,0,5400,2009-02,148900
Residential,3040213000,2935 N 75TH ST,,10,2080,Cape Cod,Brick,1.5,1936,1109,1,2,1,0,5400,2009-02,138900
Residential,4180183000,111 S 79TH ST,,10,2720,Colonial,Aluminum / Vinyl,2,1988,2666,1,4,2,1,5600,2009-02,325000
Residential,3470092000,1751 N 49TH ST,,10,2540,Colonial,Frame,2.5,1912,2600,1,4,2,1,4680,2009-02,249980
Residential,3670647000,1426 N 50TH PL,,10,2600,Dplx Bungalow,Frame,1.5,1924,1665,2,3,2,0,3588,2009-02,130000
Residential,4200264000,327 S 65TH ST,,10,2710,Ranch,Brick,1,1948,778,1,2,1,0,4960,2009-02,121500
Residential,3680217000,1508 N 58TH ST,,10,2600,Residence O/S,Brick,1,1926,1427,1,3,1,1,5355,2009-02,172000
Residential,3850765000,4822 W WISCONSIN AV,,10,2660,Residence O/S,Stucco,1.5,1917,1398,1,3,1,1,6500,2009-02,153900
Residential,5259904110,3426 S 93RD ST,,11,4350,Cape Cod,Aluminum / Vinyl,1.5,1970,2032,1,5,1,2,7540,2009-02,213000
Residential,5320284000,3223 S 38TH ST,,11,4410,Cape Cod,Stone,1.5,1951,1940,1,3,2,0,6760,2009-02,193000
Residential,5120506000,2861 S 47TH ST,,11,4320,Cape Cod,Aluminum / Vinyl,1.5,1940,1197,1,3,1,1,4920,2009-02,129000
Residential,5120530000,2764 S 48TH ST,,11,4320,Cape Cod,Aluminum / Vinyl,1,1950,1176,1,3,1,0,4920,2009-02,137000
Residential,5301017000,3163 S 57TH ST,,11,4420,Cape Cod,Brick,1,1948,948,1,3,1,0,4760,2009-02,112000
Residential,5291413000,6310 W EUCLID AV,,11,4380,Duplex N/S,Aluminum / Vinyl,2,1953,1904,2,6,2,0,7038,2009-02,163300
Residential,5100145000,2842 S 35TH ST,,11,4000,Duplex O/S,Aluminum / Vinyl,1,1943,1550,2,4,2,0,6375,2009-02,65000
Residential,5151143000,7113 W BENNETT AV,,11,4240,Ranch,Brick,1,1954,1037,1,3,1,0,5635,2009-02,136000
Residential,5149984110,2744 S 68TH ST,,11,4240,Residence O/S,Aluminum / Vinyl,1,1928,1088,1,2,1,0,14300,2009-02,110000
Residential,5320137000,3453 S 38TH ST,,11,4410,Tudor,Brick,1.5,1937,1925,1,3,1,1,5040,2009-02,231000
Residential,4331008000,910 S 17TH ST,,12,4050,Milwaukee Bungalow,Aluminum / Vinyl,1,1919,1118,1,5,1,0,4270,2009-02,59000
Residential,4600120000,1915 S 13TH ST,,12,4120,Milwaukee Bungalow,Aluminum / Vinyl,1,1921,1076,1,4,1,0,3500,2009-02,40000
Residential,5490821000,3623 S 1ST PL,,13,4620,Cape Cod,Aluminum / Vinyl,1,1947,1210,1,3,1,0,3696,2009-02,139900
Residential,5800366000,4213 S 1ST PL,,13,4700,Cape Cod,Aluminum / Vinyl,1,1940,1195,1,3,1,0,4800,2009-02,137500
Residential,5950415000,220 W ALLERTON AV,,13,4740,Cape Cod,Brick,1,1955,1010,1,3,1,1,8050,2009-02,135000
Residential,5959959000,184 W MARTIN LA,,13,4740,Cottage,Aluminum / Vinyl,1,1939,1001,1,2,1,0,10395,2009-02,125000
Residential,6870682000,143 W GOLDLEAF AV,,13,4920,Ranch,Aluminum / Vinyl,1,1979,1268,1,3,1,1,6095,2009-02,132000
Residential,6680647000,5654 S 30TH ST,,13,4840,Ranch,Brick,1,1967,1199,1,3,1,1,7436,2009-02,130000
Residential,6890211000,6147 S 19TH CT,,13,4920,Ranch,Aluminum / Vinyl,1,1966,1012,1,3,1,1,7209,2009-02,173000
Residential,5529966000,3527 S 24TH ST,,13,4360,Ranch,Aluminum / Vinyl,1,1953,880,1,2,1,1,6579,2009-02,118000
Residential,5810221000,4035 S AUSTIN ST,,13,4700,Residence O/S,Aluminum / Vinyl,1,1915,1424,1,3,0,0,8100,2009-02,147000
Residential,5350909000,3345 S 16TH ST,,13,4520,Residence O/S,Aluminum / Vinyl,1,1923,1238,1,4,1,0,4000,2009-02,121000
Residential,5001004000,903 E LINCOLN AV,,14,4910,Cape Cod,Aluminum / Vinyl,1.5,1941,1346,1,4,1,1,4305,2009-02,158500
Residential,5400040000,3271 S SPRINGFIELD AV,,14,4610,Dplx Bungalow,Aluminum / Vinyl,2,1929,2695,2,4,2,0,4800,2009-02,215400
Residential,5410849000,3345 S DELAWARE AV,,14,4600,Residence O/S,Frame,2,1898,3148,1,4,3,0,7200,2009-02,395000
Residential,5000601200,2536 S DELAWARE AV,,14,4540,Residence O/S,Frame,1,1906,1896,1,4,2,0,3900,2009-02,192500
Residential,5000642100,2635 S DELAWARE AV,,14,4540,Residence O/S,Frame,2,1890,1636,1,4,2,0,4410,2009-02,225000
Residential,5400625000,2228 E EUCLID AV,,14,4600,Residence O/S,Prem Wood,1,1920,1332,1,3,2,0,3510,2009-02,160000
Residential,4660029000,2249 S ALDRICH ST,,14,4510,Residence O/S,Fiber-Cement,1,1890,1274,1,3,2,0,3200,2009-02,158000
Residential,5389935000,3447 S WHITNALL AV,,14,4580,Residence O/S,Brick,1,1930,1196,1,3,1,0,6400,2009-02,155000
Residential,3270563000,2421 N 40TH ST,,15,2380,Duplex O/S,Aluminum / Vinyl,2,1913,2502,2,6,2,0,4720,2009-02,70000
Residential,3281289000,2378 N 46TH ST,,15,2520,Milwaukee Bungalow,Frame,1,1918,1434,1,3,1,1,5000,2009-02,40000
Residential,3250607000,2025 W CENTER ST,,15,2940,Residence O/S,Aluminum / Vinyl,1,1895,1362,1,4,1,0,3600,2009-02,30000
Residential,1690013000,5673 N 27TH ST,,1,1200,Cape Cod,Brick,1,1955,1259,1,4,1,0,4960,2009-03,125000
Residential,1580219000,6021 N 36TH ST,,1,900,Duplex N/S,Brick,2,1954,1940,2,4,2,0,4840,2009-03,121400
Residential,1950048000,1402 W LAWN AV,,1,1200,Ranch,Frame,1,1946,856,1,2,1,0,8967,2009-03,89375
Residential,2260839000,4419 N 66TH ST,,2,1490,Cape Cod,Brick,1,1956,1406,1,3,1,0,5250,2009-03,97000
Residential,2110492000,4907 N 65TH ST,,2,1380,Ranch,Stone,1,1955,1120,1,2,1,0,4800,2009-03,87600
Residential,1520090000,8549 W DOUGLAS AV,,2,700,Ranch,Aluminum / Vinyl,1,1957,951,1,3,1,1,7245,2009-03,106400
Residential,1500502100,6319 N 100TH ST,,2,820,Townhouse,Aluminum / Vinyl,2,1974,2484,2,6,2,2,11970,2009-03,189000
Residential,2812002000,3405 N HUMBOLDT BL,,3,3320,Colonial,Frame,2,1922,1852,1,3,1,1,8040,2009-03,224999
